dev_id,date,messages_sent,avg_response_hours
D01,2025-10-11,4,3.57
D01,2025-10-12,5,3.06
D01,2025-10-13,5,3.98
D01,2025-10-14,13,3.53
D01,2025-10-15,12,3.97
D01,2025-10-16,10,1.93
D01,2025-10-17,7,1.27
D01,2025-10-18,10,1.86
D01,2025-10-19,14,2.73
D01,2025-10-20,7,2.28
D01,2025-10-21,14,3.78
D01,2025-10-22,5,3.66
D01,2025-10-23,14,2.05
D01,2025-10-24,14,3.75
D01,2025-10-25,4,1.37
D01,2025-10-26,9,3.66
D01,2025-10-27,6,3.8
D01,2025-10-28,12,1.13
D01,2025-10-29,5,2.68
D01,2025-10-30,12,2.93
D01,2025-10-31,10,3.19
D01,2025-11-01,11,3.29
D01,2025-11-02,6,1.44
D01,2025-11-03,7,3.7
D01,2025-11-04,8,1.71
D01,2025-11-05,6,2.07
D01,2025-11-06,14,2.54
D01,2025-11-07,14,2.03
D01,2025-11-08,10,1.13
D01,2025-11-09,10,1.05
D01,2025-11-10,9,1.98
D01,2025-11-11,13,1.09
D01,2025-11-12,10,3.69
D01,2025-11-13,5,1.21
D01,2025-11-14,8,2.55
D01,2025-11-15,13,3.7
D01,2025-11-16,7,3.15
D01,2025-11-17,12,3.94
D01,2025-11-18,12,1.2
D01,2025-11-19,5,1.99
D01,2025-11-20,14,1.09
D01,2025-11-21,14,3.25
D01,2025-11-22,10,3.89
D01,2025-11-23,11,3.56
D01,2025-11-24,12,2.06
D01,2025-11-25,12,1.01
D01,2025-11-26,8,2.38
D01,2025-11-27,7,3.23
D01,2025-11-28,5,2.19
D01,2025-11-29,7,2.02
D01,2025-11-30,6,3.52
D01,2025-12-01,1,8.11
D01,2025-12-02,0,11.12
D01,2025-12-03,1,9.55
D01,2025-12-04,2,8.21
D01,2025-12-05,2,7.47
D01,2025-12-06,0,11.07
D01,2025-12-07,1,8.45
D01,2025-12-08,1,6.92
D01,2025-12-09,1,11.52
D01,2025-12-10,0,11.4
D01,2025-12-11,1,11.35
D01,2025-12-12,0,10.75
D01,2025-12-13,0,11.35
D01,2025-12-14,0,9.95
D01,2025-12-15,1,8.58
D01,2025-12-16,1,7.21
D01,2025-12-17,1,10.99
D01,2025-12-18,2,10.2
D01,2025-12-19,2,9.89
D01,2025-12-20,1,7.48
D01,2025-12-21,1,9.24
D01,2025-12-22,0,9.53
D01,2025-12-23,1,7.2
D01,2025-12-24,0,9.73
D01,2025-12-25,0,11.08
D01,2025-12-26,1,11.69
D01,2025-12-27,1,10.12
D01,2025-12-28,0,11.16
D01,2025-12-29,2,10.33
D01,2025-12-30,0,9.76
D01,2025-12-31,0,11.01
D01,2026-01-01,0,10.03
D01,2026-01-02,0,11.05
D01,2026-01-03,1,6.6
D01,2026-01-04,0,10.56
D01,2026-01-05,2,6.92
D01,2026-01-06,1,10.56
D01,2026-01-07,2,10.36
D01,2026-01-08,1,10.37
D02,2025-10-11,10,3.53
D02,2025-10-12,6,2.08
D02,2025-10-13,12,3.31
D02,2025-10-14,13,3.56
D02,2025-10-15,11,3.35
D02,2025-10-16,5,2.7
D02,2025-10-17,7,2.88
D02,2025-10-18,11,2.19
D02,2025-10-19,9,1.74
D02,2025-10-20,13,1.85
D02,2025-10-21,14,1.84
D02,2025-10-22,4,2.25
D02,2025-10-23,10,3.96
D02,2025-10-24,10,2.5
D02,2025-10-25,8,2.42
D02,2025-10-26,5,2.39
D02,2025-10-27,7,3.89
D02,2025-10-28,5,2.2
D02,2025-10-29,6,2.3
D02,2025-10-30,6,2.46
D02,2025-10-31,6,3.1
D02,2025-11-01,8,3.8
D02,2025-11-02,8,1.97
D02,2025-11-03,13,1.38
D02,2025-11-04,4,1.74
D02,2025-11-05,13,3.88
D02,2025-11-06,7,1.25
D02,2025-11-07,13,3.46
D02,2025-11-08,8,2.09
D02,2025-11-09,12,3.38
D02,2025-11-10,12,2.99
D02,2025-11-11,10,2.22
D02,2025-11-12,14,2.54
D02,2025-11-13,4,2.16
D02,2025-11-14,11,3.06
D02,2025-11-15,5,3.05
D02,2025-11-16,13,1.7
D02,2025-11-17,7,3.26
D02,2025-11-18,4,1.69
D02,2025-11-19,4,2.08
D02,2025-11-20,11,2.36
D02,2025-11-21,8,3.38
D02,2025-11-22,5,3.86
D02,2025-11-23,10,1.0
D02,2025-11-24,9,2.88
D02,2025-11-25,12,1.67
D02,2025-11-26,12,1.16
D02,2025-11-27,7,2.4
D02,2025-11-28,11,2.21
D02,2025-11-29,4,1.79
D02,2025-11-30,12,3.68
D02,2025-12-01,13,1.24
D02,2025-12-02,11,3.66
D02,2025-12-03,4,2.14
D02,2025-12-04,14,2.7
D02,2025-12-05,9,3.17
D02,2025-12-06,14,1.59
D02,2025-12-07,7,1.79
D02,2025-12-08,6,1.06
D02,2025-12-09,9,2.3
D02,2025-12-10,12,3.34
D02,2025-12-11,9,3.85
D02,2025-12-12,8,1.67
D02,2025-12-13,10,2.57
D02,2025-12-14,6,2.29
D02,2025-12-15,12,1.03
D02,2025-12-16,14,2.1
D02,2025-12-17,4,2.07
D02,2025-12-18,14,1.58
D02,2025-12-19,12,2.71
D02,2025-12-20,9,2.14
D02,2025-12-21,4,3.31
D02,2025-12-22,4,2.35
D02,2025-12-23,12,3.15
D02,2025-12-24,5,2.28
D02,2025-12-25,5,3.75
D02,2025-12-26,11,1.66
D02,2025-12-27,7,2.01
D02,2025-12-28,14,1.74
D02,2025-12-29,14,3.53
D02,2025-12-30,8,2.56
D02,2025-12-31,6,3.01
D02,2026-01-01,13,3.9
D02,2026-01-02,13,2.47
D02,2026-01-03,14,1.89
D02,2026-01-04,6,3.4
D02,2026-01-05,12,1.86
D02,2026-01-06,4,1.63
D02,2026-01-07,7,1.06
D02,2026-01-08,8,1.47
D03,2025-10-11,9,3.41
D03,2025-10-12,4,3.17
D03,2025-10-13,6,2.11
D03,2025-10-14,9,2.81
D03,2025-10-15,13,3.51
D03,2025-10-16,7,3.99
D03,2025-10-17,6,1.57
D03,2025-10-18,5,2.46
D03,2025-10-19,9,3.35
D03,2025-10-20,6,3.95
D03,2025-10-21,4,2.93
D03,2025-10-22,7,2.63
D03,2025-10-23,8,3.57
D03,2025-10-24,14,2.39
D03,2025-10-25,6,1.45
D03,2025-10-26,8,2.34
D03,2025-10-27,14,2.62
D03,2025-10-28,8,2.77
D03,2025-10-29,6,1.8
D03,2025-10-30,6,2.75
D03,2025-10-31,9,1.22
D03,2025-11-01,7,1.98
D03,2025-11-02,10,2.22
