dev_id,week,issues_opened,issues_closed,issues_reopened,avg_pr_merge_days
D01,1,4,3,1,3
D01,2,3,3,1,3
D01,3,9,3,1,1
D01,4,9,8,0,2
D01,5,9,2,1,1
D01,6,6,2,0,2
D01,7,5,4,0,1
D01,8,5,3,1,1
D01,9,9,7,1,3
D01,10,3,2,1,1
D01,11,8,5,0,1
D01,12,3,2,1,2
D01,13,5,2,0,1
D02,1,9,8,1,3
D02,2,3,3,0,3
D02,3,8,5,0,2
D02,4,4,2,1,3
D02,5,5,5,0,2
D02,6,7,7,1,1
D02,7,6,2,0,1
D02,8,8,6,0,2
D02,9,7,5,0,1
D02,10,9,3,1,2
D02,11,6,6,0,3
D02,12,4,4,0,1
D02,13,7,7,0,2
D03,1,8,2,0,1
D03,2,5,3,0,1
D03,3,6,6,0,1
D03,4,4,3,1,2
D03,5,8,2,1,1
D03,6,6,5,1,1
D03,7,3,2,1,1
D03,8,9,5,0,1
D03,9,8,4,0,1
D03,10,7,7,1,1
D03,11,5,3,0,3
D03,12,4,2,1,2
D03,13,3,2,1,3
D04,1,4,4,0,3
D04,2,9,5,1,2
D04,3,6,3,0,2
D04,4,4,2,1,1
D04,5,3,3,1,3
D04,6,9,9,1,1
D04,7,4,4,1,2
D04,8,7,2,0,2
D04,9,5,3,1,1
D04,10,8,8,1,2
D04,11,8,8,1,1
D04,12,6,6,0,1
D04,13,3,2,0,2
D05,1,6,6,0,2
D05,2,7,2,0,1
D05,3,7,6,0,2
D05,4,8,6,1,1
D05,5,8,2,1,1
D05,6,5,4,0,1
D05,7,9,3,1,2
D05,8,3,2,3,9
D05,9,9,5,3,4
D05,10,3,3,4,6
D05,11,7,4,2,9
D05,12,8,4,2,6
D05,13,6,4,3,9
D06,1,4,3,0,3
D06,2,9,2,1,1
D06,3,8,6,1,3
D06,4,9,8,0,1
D06,5,7,4,1,2
D06,6,6,4,1,2
D06,7,9,9,0,1
D06,8,4,3,0,2
D06,9,4,3,0,3
D06,10,8,2,1,2
D06,11,5,3,1,2
D06,12,6,5,0,2
D06,13,8,4,1,2
D07,1,3,2,1,2
D07,2,6,2,0,3
D07,3,6,2,0,2
D07,4,3,3,0,1
D07,5,7,4,1,2
D07,6,6,3,0,3
